subject,condition,order,p1,o1,p2,o2,p3,o3,p4,o4,gamble_no,decision,time,repetition
24,1,60,0.07,510,0.93,350,0.6,90,0.4,890,40,1,10406,1
24,1,21,0.51,440,0.49,380,0.38,200,0.62,860,65,2,7225,1
24,1,54,0.85,100,0.15,900,0.02,10,0.98,225,15,1,8591,1
24,1,91,0.33,0,0.67,630,0.6,40,0.4,1000,8,1,12765,1
24,1,57,0.13,-290,0.87,-760,0.55,-1000,0.45,-280,84,1,11655,1
24,1,98,0.31,1000,0.69,480,0.58,1000,0.42,10,50,1,4086,1
24,1,118,0.84,-570,0.16,-900,0.25,-630,0.75,-300,85,2,9731,1
24,1,134,0.5,-100,0.5,150,0.5,0,0.5,0,33,2,6232,1
24,1,66,0.25,600,0.75,1000,0.5,800,0.5,1000,10,2,5423,1
24,1,56,0.18,-190,0.82,730,0.94,580,0.06,-540,99,1,7753,1
24,1,74,0,0,1,460,0.36,520,0.64,360,58,1,7021,1
24,1,105,0.93,750,0.07,-900,0.87,960,0.13,-890,127,2,12794,1
24,1,79,0.98,410,0.02,500,0.85,310,0.15,1000,17,2,7219,1
24,1,31,0.01,530,0.99,990,0.83,870,0.17,610,48,1,5541,1
24,1,24,0.3,375,0.7,975,0.2,0,0.8,1000,2,2,6948,1
24,1,51,0.61,-730,0.39,-580,0.44,-830,0.56,-80,78,2,8221,1
24,1,43,0.52,680,0.48,900,0.19,10,0.81,870,67,1,5371,1
24,1,101,0.06,-820,0.94,540,0.91,380,0.09,-730,104,1,13449,1
24,1,88,0.5,300,0.5,400,0.3,0,0.7,500,1,1,6080,1
24,1,45,0.24,-250,0.76,360,0.48,-280,0.52,670,108,1,7868,1
24,1,82,0.99,160,0.01,170,0.85,30,0.15,880,19,1,9909,1
24,1,99,0.7,300,0.3,400,0.6,200,0.4,525,9,2,10926,1
24,1,117,0.5,-100,0.5,400,0.5,0,0.5,0,38,1,6862,1
24,1,53,0.73,-730,0.27,-540,0.17,-420,0.83,-700,82,1,9663,1
24,1,73,0.56,-580,0.44,-800,0.86,-580,0.14,-970,87,1,7034,1
24,1,65,0.19,430,0.81,50,0.14,910,0.86,60,43,2,10112,1
24,1,110,0.49,-660,0.51,-920,0.78,-970,0.22,-340,98,1,7420,1
24,1,68,0.25,0,0.75,705,0.5,60,0.5,1000,135,1,9438,1
24,1,108,0.3,0,0.7,450,0.6,40,0.4,730,7,1,13155,1
24,1,44,0.66,-80,0.34,-950,0.93,-420,0.07,-300,81,2,7925,1
24,1,34,0.74,770,0.26,-230,0.67,750,0.33,-70,126,2,11690,1
24,1,30,0.62,10,0.38,830,0.41,370,0.59,240,51,2,6363,1
24,1,112,0.25,840,0.75,430,0.43,70,0.57,970,61,1,6719,1
24,1,26,0.31,-440,0.69,260,0.38,840,0.62,-410,110,1,5851,1
24,1,69,0.45,-370,0.55,-340,0.41,-110,0.59,-540,80,2,12004,1
24,1,122,0.55,890,0.45,-520,0.76,860,0.24,-750,119,2,12276,1
24,1,6,0.45,100,0.55,400,0.4,0,0.6,440,130,1,8064,1
24,1,25,0.92,630,0.08,50,0.63,430,0.37,530,60,2,8458,1
24,1,115,0.43,-970,0.57,590,0.85,-280,0.15,830,112,2,10246,1
24,1,38,0.29,-250,0.71,-860,0.76,-380,0.24,-990,79,2,4521,1
24,1,59,0.6,250,0.4,300,0.5,200,0.5,340,137,2,9448,1
24,1,50,0.38,400,0.62,550,0.14,260,0.86,960,49,2,6415,1
24,1,109,0.27,250,0.73,-610,0.34,-820,0.66,30,120,2,12491,1
24,1,102,0.99,215,0.01,350,0.8,20,0.2,1000,20,1,4109,1
24,1,35,0.5,550,0.5,950,0.25,0,0.75,1000,131,1,9891,1
24,1,48,0.14,-920,0.86,760,0.94,990,0.06,-960,109,2,19007,1
24,1,135,0.4,510,0.6,800,0.3,0,0.7,980,3,1,4700,1
24,1,46,0.25,-940,0.75,-370,0.83,-490,0.17,-110,72,1,13476,1
24,1,63,0.73,750,0.27,340,0.9,560,0.1,820,59,2,8754,1
24,1,120,0.74,620,0.26,0,0.44,230,0.56,310,53,1,4168,1
24,1,93,0.28,70,0.72,740,0.71,550,0.29,630,68,2,7769,1
24,1,62,0.9,590,0.1,1000,0.02,0,0.98,650,16,1,9489,1
24,1,27,0.68,300,0.32,670,0.59,70,0.41,590,66,1,8389,1
24,1,87,0.63,410,0.37,180,0.98,560,0.02,80,41,2,4328,1
