"p","x","q","y","cond","id"
20,20,40,10,"Positive",1
20,20,60,10,"Positive",2
20,20,80,10,"Positive",3
20,20,100,10,"Positive",4
40,20,60,10,"Positive",5
40,20,80,10,"Positive",6
40,20,100,10,"Positive",7
60,20,80,10,"Positive",8
60,20,100,10,"Positive",9
80,20,100,10,"Positive",10
20,50,40,10,"Positive",11
20,50,60,10,"Positive",12
20,50,80,10,"Positive",13
20,50,100,10,"Positive",14
40,50,60,10,"Positive",15
40,50,80,10,"Positive",16
40,50,100,10,"Positive",17
60,50,80,10,"Positive",18
60,50,100,10,"Positive",19
80,50,100,10,"Positive",20
20,50,40,20,"Positive",21
20,50,60,20,"Positive",22
20,50,80,20,"Positive",23
20,50,100,20,"Positive",24
40,50,60,20,"Positive",25
40,50,80,20,"Positive",26
40,50,100,20,"Positive",27
60,50,80,20,"Positive",28
60,50,100,20,"Positive",29
80,50,100,20,"Positive",30
20,100,40,10,"Positive",31
20,100,60,10,"Positive",32
20,100,80,10,"Positive",33
20,100,100,10,"Positive",34
40,100,60,10,"Positive",35
40,100,80,10,"Positive",36
40,100,100,10,"Positive",37
60,100,80,10,"Positive",38
60,100,100,10,"Positive",39
80,100,100,10,"Positive",40
20,100,40,20,"Positive",41
20,100,60,20,"Positive",42
20,100,80,20,"Positive",43
20,100,100,20,"Positive",44
40,100,60,20,"Positive",45
40,100,80,20,"Positive",46
40,100,100,20,"Positive",47
60,100,80,20,"Positive",48
60,100,100,20,"Positive",49
80,100,100,20,"Positive",50
20,100,40,50,"Positive",51
20,100,60,50,"Positive",52
20,100,80,50,"Positive",53
20,100,100,50,"Positive",54
40,100,60,50,"Positive",55
40,100,80,50,"Positive",56
40,100,100,50,"Positive",57
60,100,80,50,"Positive",58
60,100,100,50,"Positive",59
80,100,100,50,"Positive",60
20,200,40,10,"Positive",61
20,200,60,10,"Positive",62
20,200,80,10,"Positive",63
20,200,100,10,"Positive",64
40,200,60,10,"Positive",65
40,200,80,10,"Positive",66
40,200,100,10,"Positive",67
60,200,80,10,"Positive",68
60,200,100,10,"Positive",69
80,200,100,10,"Positive",70
20,200,40,20,"Positive",71
20,200,60,20,"Positive",72
20,200,80,20,"Positive",73
20,200,100,20,"Positive",74
40,200,60,20,"Positive",75
40,200,80,20,"Positive",76
40,200,100,20,"Positive",77
60,200,80,20,"Positive",78
60,200,100,20,"Positive",79
80,200,100,20,"Positive",80
20,200,40,50,"Positive",81
20,200,60,50,"Positive",82
20,200,80,50,"Positive",83
20,200,100,50,"Positive",84
40,200,60,50,"Positive",85
40,200,80,50,"Positive",86
40,200,100,50,"Positive",87
60,200,80,50,"Positive",88
60,200,100,50,"Positive",89
80,200,100,50,"Positive",90
20,200,40,100,"Positive",91
20,200,60,100,"Positive",92
20,200,80,100,"Positive",93
20,200,100,100,"Positive",94
40,200,60,100,"Positive",95
40,200,80,100,"Positive",96
40,200,100,100,"Positive",97
60,200,80,100,"Positive",98
60,200,100,100,"Positive",99
80,200,100,100,"Positive",100
20,500,40,10,"Positive",101
20,500,60,10,"Positive",102
20,500,80,10,"Positive",103
20,500,100,10,"Positive",104
40,500,60,10,"Positive",105
40,500,80,10,"Positive",106
40,500,100,10,"Positive",107
60,500,80,10,"Positive",108
60,500,100,10,"Positive",109
80,500,100,10,"Positive",110
20,500,40,20,"Positive",111
20,500,60,20,"Positive",112
20,500,80,20,"Positive",113
20,500,100,20,"Positive",114
40,500,60,20,"Positive",115
40,500,80,20,"Positive",116
40,500,100,20,"Positive",117
60,500,80,20,"Positive",118
60,500,100,20,"Positive",119
80,500,100,20,"Positive",120
20,500,40,50,"Positive",121
20,500,60,50,"Positive",122
20,500,80,50,"Positive",123
20,500,100,50,"Positive",124
40,500,60,50,"Positive",125
40,500,80,50,"Positive",126
40,500,100,50,"Positive",127
60,500,80,50,"Positive",128
60,500,100,50,"Positive",129
80,500,100,50,"Positive",130
20,500,40,100,"Positive",131
