sub.id,sub.no,cond,experiment.duration,user.agent,PA.id,verification,time,ip
1,14,Both,197614,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",558ffe16fdf99b3f7aada34d,6HFVEW46,19:54:17 Tue 01 Sep 15,71.31.200.105
2,26,Both,297330,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",5589b65afdf99b118adfa595,6HFVEW46,19:56:40 Tue 01 Sep 15,76.180.56.116
3,13,Uniform,414287,"Mozilla/5.0 (Windows NT 10.0 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",55b67c31fdf99b26b999cc1e,6HFVEW46,19:57:50 Tue 01 Sep 15,68.57.55.155
4,16,Uniform,445453,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",5590070afdf99b3f7aada3c5,6HFVEW46,19:58:32 Tue 01 Sep 15,24.16.250.189
5,5,Both,535979,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55c675ecfdf99b620ff9e227,6HFVEW46,19:59:32 Tue 01 Sep 15,78.150.219.99
6,19,Uniform,518096,"Mozilla/5.0 (Windows NT 6.3 WOW64 rv:34.0) Gecko/20100101 Firefox/34.0",55bf96b9fdf99b2d6e385ae7,6HFVEW46,20:00:07 Tue 01 Sep 15,190.192.138.19
7,20,Both,565650,"Mozilla/5.0 (Windows NT 10.0 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",55cb7bb3fdf99b3ca7b9562f,6HFVEW46,20:00:56 Tue 01 Sep 15,45.47.106.124
8,1,Uniform,686038,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",5424ac42fdf99b691fb38500,6HFVEW46,20:01:04 Tue 01 Sep 15,75.128.70.130
9,17,Both,609534,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",558ad983fdf99b7c7a5d423e,6HFVEW46,20:01:19 Tue 01 Sep 15,173.74.44.9
10,28,Uniform,605825,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",5589c7cefdf99b18bd86cf31,6HFVEW46,20:02:05 Tue 01 Sep 15,184.176.139.21
11,23,Both,644816,"Mozilla/5.0 (Windows NT 6.0 rv:40.0) Gecko/20100101 Firefox/40.0",55ba8bc7fdf99b3acb355bb5,6HFVEW46,20:02:22 Tue 01 Sep 15,73.53.85.195
12,6,Positive,714979,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",5588b9e5fdf99b7f40e7f428,6HFVEW46,20:02:33 Tue 01 Sep 15,73.175.118.202
13,24,Positive,677901,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55008c4afdf99b65ef694b2c,6HFVEW46,20:02:54 Tue 01 Sep 15,86.180.73.217
14,32,Both,416198,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",5588c6fefdf99b304dd47b0d,6HFVEW46,20:03:06 Tue 01 Sep 15,184.60.227.217
15,25,Uniform,695506,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55cf3be134e9060012e56b45,6HFVEW46,20:03:16 Tue 01 Sep 15,71.194.151.35
16,12,Positive,744986,"Mozilla/5.0 (X11 Linux x86_64 rv:40.0) Gecko/20100101 Firefox/40.0",555930d8fdf99b26ba0a73f4,6HFVEW46,20:03:18 Tue 01 Sep 15,74.192.190.73
17,15,Positive,736706,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",554a4c37fdf99b744e2ae69f,6HFVEW46,20:03:20 Tue 01 Sep 15,146.200.85.38
18,10,Uniform,764578,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",559be8eefdf99b125289ef17,6HFVEW46,20:03:37 Tue 01 Sep 15,193.165.207.72
19,7,Uniform,784763,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",55896904fdf99b7416027149,6HFVEW46,20:03:45 Tue 01 Sep 15,213.243.187.195
20,8,Both,877033,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55c8f30cfdf99b78cc9ea578,6HFVEW46,20:05:17 Tue 01 Sep 15,86.40.141.157
21,30,Positive,700027,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",558ad919fdf99b7c4d36e519,6HFVEW46,20:06:20 Tue 01 Sep 15,24.61.172.42
22,3,Positive,1007818,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",55c4e85ffdf99b4adb996553,6HFVEW46,20:07:03 Tue 01 Sep 15,24.135.221.205
23,18,Positive,1062936,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",545cb6f1fdf99b119d8b18bc,6HFVEW46,20:09:09 Tue 01 Sep 15,101.98.210.59
24,22,Uniform,1166900,"Mozilla/5.0 (Windows NT 6.1 rv:40.0) Gecko/20100101 Firefox/40.0",55d0f60334e9060005e5750f,6HFVEW46,20:11:01 Tue 01 Sep 15,92.244.145.143
25,11,Both,1287606,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55902406fdf99b3f7aada447,6HFVEW46,20:12:20 Tue 01 Sep 15,24.15.247.117
26,9,Positive,1314471,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55c28db0fdf99b5e72c6efbc,6HFVEW46,20:12:35 Tue 01 Sep 15,87.112.220.155
27,31,Uniform,1117978,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55d29e1c5bc5bc0005d90b02,6HFVEW46,20:14:00 Tue 01 Sep 15,72.66.124.150
28,27,Positive,1387021,"Mozilla/5.0 (Macintosh Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55bc9321fdf99b0645225290,6HFVEW46,20:14:53 Tue 01 Sep 15,207.47.182.173
29,29,Both,1365904,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55ac4183fdf99b072c0cd448,6HFVEW46,20:15:18 Tue 01 Sep 15,79.97.116.237
30,21,Positive,1479794,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55cbb473fdf99b50471ab03a,6HFVEW46,20:16:12 Tue 01 Sep 15,93.87.156.23
31,33,Positive,866433,"Mozilla/5.0 (Windows NT 6.3 WOW64 rv:43.0) Gecko/20100101 Firefox/43.0",55d048d134e9060005e5709f,6HFVEW46,20:17:14 Tue 01 Sep 15,209.73.137.219
32,49,Uniform,213942,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",558af771fdf99b7dfef4d800,6HFVEW46,19:36:24 Wed 02 Sep 15,87.115.149.118
33,34,Uniform,336284,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",558afc18fdf99b7dfef4d84e,6HFVEW46,19:36:37 Wed 02 Sep 15,50.152.227.162
34,54,Positive,333115,"Mozilla/5.0 (Windows NT 6.3 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",55d4d05258c35800113dc294,6HFVEW46,19:38:55 Wed 02 Sep 15,82.34.1.132
35,45,Positive,446439,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55de571604fec500136076a1,6HFVEW46,19:39:40 Wed 02 Sep 15,112.197.142.6
36,44,Both,511227,"Mozilla/5.0 (Windows NT 5.1 rv:40.0) Gecko/20100101 Firefox/40.0",5596f1f5fdf99b4a8bd2d41a,6HFVEW46,19:40:40 Wed 02 Sep 15,41.140.110.167
37,39,Positive,548368,"Mozilla/5.0 (Linux Android 4.2.2 GT-I9305 Build/JDQ39E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36",55d4f89258c35800103dc40c,6HFVEW46,19:40:46 Wed 02 Sep 15,86.24.246.222
38,4,Uniform,595418,"Mozilla/5.0 (Macintosh Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55bb9e77fdf99b2b5b1d5ce1,6HFVEW46,19:40:53 Wed 02 Sep 15,71.231.139.43
39,51,Positive,475961,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",558ad687fdf99b65685f0497,6HFVEW46,19:40:55 Wed 02 Sep 15,76.201.81.136
40,55,Uniform,479128,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",55d621bbdb6a810013fa0ea0,6HFVEW46,19:41:50 Wed 02 Sep 15,86.142.105.81
41,70,Uniform,347008,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",558e689efdf99b3a5619b591,6HFVEW46,19:41:56 Wed 02 Sep 15,86.5.143.51
42,64,Uniform,391860,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",5588ec8dfdf99b304dd4824b,6HFVEW46,19:42:00 Wed 02 Sep 15,162.104.71.138
43,41,Both,619106,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55973b1cfdf99b590e1e9252,6HFVEW46,19:42:11 Wed 02 Sep 15,207.144.189.82
44,47,Both,597323,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55e31bf4c70c7a00112a599a,6HFVEW46,19:42:28 Wed 02 Sep 15,75.144.68.229
45,0,Positive,710492,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55a43211fdf99b02ff6caf7e,6HFVEW46,19:42:34 Wed 02 Sep 15,76.115.209.13
46,43,Uniform,653740,"Mozilla/5.0 (iPhone CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4",55b567fbfdf99b4a11df33b9,6HFVEW46,19:43:01 Wed 02 Sep 15,184.151.246.98
47,58,Uniform,556072,"Mozilla/5.0 (Windows NT 6.3 WOW64 rv:38.0) Gecko/20100101 Firefox/38.0",55d6369cdb6a810013fa0ff8,6HFVEW46,19:43:24 Wed 02 Sep 15,86.2.228.243
48,53,Both,609378,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",5470e6cbfdf99b433a923452,6HFVEW46,19:43:25 Wed 02 Sep 15,71.197.252.84
49,48,Positive,645855,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",550b272afdf99b3946e13443,6HFVEW46,19:43:32 Wed 02 Sep 15,94.173.152.27
50,56,Both,586000,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55a432eafdf99b02ff6caf8d,6HFVEW46,19:43:37 Wed 02 Sep 15,86.3.201.220
51,38,Both,747862,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",559272f4fdf99b7e42e96932,6HFVEW46,19:44:03 Wed 02 Sep 15,92.30.153.231
52,67,Uniform,512790,"Mozilla/5.0 (Macintosh Intel Mac OS X 10.11 rv:40.0) Gecko/20100101 Firefox/40.0",55bcb0b4fdf99b1068d9754b,6HFVEW46,19:44:07 Wed 02 Sep 15,174.95.2.143
53,68,Both,508980,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55d10bc5cc2b1800052be650,6HFVEW46,19:44:12 Wed 02 Sep 15,86.21.52.48
54,37,Uniform,759391,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",559cc7e3fdf99b66d8b28f88,6HFVEW46,19:44:14 Wed 02 Sep 15,23.127.177.105
55,71,Both,485508,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55bd22d0fdf99b374ec0711a,6HFVEW46,19:44:18 Wed 02 Sep 15,108.5.162.108
56,77,Both,377561,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55766633fdf99b31db3db2dc,6HFVEW46,19:44:19 Wed 02 Sep 15,108.176.159.174
57,60,Positive,587594,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",558ab68afdf99b6567d0081d,6HFVEW46,19:44:27 Wed 02 Sep 15,108.90.121.212
58,46,Uniform,738820,"Mozilla/5.0 (Windows NT 10.0 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",5588d532fdf99b304ee567b9,6HFVEW46,19:44:44 Wed 02 Sep 15,74.194.53.126
59,35,Both,823471,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55ae3849fdf99b3087df192d,6HFVEW46,19:45:09 Wed 02 Sep 15,68.43.63.181
60,52,Uniform,720054,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",55b92f4dfdf99b3ac3e03774,6HFVEW46,19:45:13 Wed 02 Sep 15,85.56.213.89
61,69,Positive,551513,"Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",559bbbdafdf99b7ce19d5b3d,6HFVEW46,19:45:15 Wed 02 Sep 15,92.238.38.24
62,82,Uniform,415268,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36",55a5f1e8fdf99b28b5340d01,6HFVEW46,19:45:33 Wed 02 Sep 15,75.13.136.184
63,73,Uniform,526326,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55a316e7fdf99b246a8ba956,6HFVEW46,19:45:45 Wed 02 Sep 15,65.29.197.179
64,97,Uniform,239953,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55bec99afdf99b57ba3a0745,6HFVEW46,19:45:46 Wed 02 Sep 15,82.44.66.100
65,50,Both,774161,"Mozilla/5.0 (Windows NT 6.0 rv:40.0) Gecko/20100101 Firefox/40.0",55b09d60fdf99b12a4b357eb,6HFVEW46,19:45:48 Wed 02 Sep 15,185.15.81.26
66,92,Both,301753,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",557002b6fdf99b742ecf8807,6HFVEW46,19:45:54 Wed 02 Sep 15,78.185.141.240
67,36,Positive,874470,"Mozilla/5.0 (Windows NT 6.1 WOW64 Trident/7.0 SLCC2 .NET CLR 2.0.50727 .NET CLR 3.5.30729 .NET CLR 3.0.30729 Media Center PC 6.0 .NET4.0C .NET4.0E InfoPath.3 NISSC rv:11.0) like Gecko",55d35897da14d700059532ed,6HFVEW46,19:46:09 Wed 02 Sep 15,56.0.143.25
68,76,Uniform,506361,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",55a687e2fdf99b6ca905800e,6HFVEW46,19:46:15 Wed 02 Sep 15,174.62.208.163
