sub.id,sub.no,cond,experiment.duration,user.agent,PA.id,verification,time,ip
1,8,Both,177777,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A3FFZN4FO3Q789,6aif6zua81lzbyb9,19:14:24 Tue 01 Sep 15,108.239.241.47
2,30,Positive,176719,"Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240",AOTCPS24JM5DQ,592c9veqeweu,19:14:41 Tue 01 Sep 15,75.161.147.234
3,65,Both,218616,"Mozilla/5.0 (Windows NT 5.1 rv:40.0) Gecko/20100101 Firefox/40.0",A1LAZ3AO0NYBC1,6c65iasu2wp,19:16:00 Tue 01 Sep 15,173.168.95.138
4,25,Uniform,266278,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36",A2CEUCPDECS6U3,6p6ea1w5l82xogvi,19:16:05 Tue 01 Sep 15,173.217.151.132
5,16,Uniform,319569,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A3DFAMWCUGEYTD,5sw7t0kwql7,19:16:51 Tue 01 Sep 15,72.187.52.81
6,78,Positive,266638,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A9FCR1QRZAM3U,283jjaoofw9daemi,19:17:03 Tue 01 Sep 15,68.39.2.167
7,34,Uniform,322370,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A2CFE6AZS73RNS,pez2bmujucgzaor,19:17:11 Tue 01 Sep 15,108.9.245.147
8,19,Uniform,343198,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A1PT63J40GNSZF,xc7joskdzmhrggb9,19:17:16 Tue 01 Sep 15,161.49.249.254
9,17,Both,347298,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36",A2R794P3E8X0MK,24dqd1foscrkvs4i,19:17:18 Tue 01 Sep 15,24.170.255.212
10,39,Positive,328071,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A27O2IILV3S5YS,pfi0l9lv0cslwhfr,19:17:19 Tue 01 Sep 15,76.100.124.186
